defteam,def_front,play_type,plays,epa_allowed,success_rate_allowed,yards_allowed,td_rate,first_down_rate,pressure_rate,interceptions,sacks,yac_allowed
NYJ,Light (≤5),pass,93,0.20564933,0.4623656,5.860215,0.010752688,0.38709676,0.13978494623655913,0.0,7.0,5.034483
NYJ,Light (≤5),run,19,0.09183051,0.36842105,5.4210525,0.0,0.2631579,0.0,0.0,0.0,
NYJ,Standard (6),pass,305,0.18413682,0.43934426,6.6327868,0.045901638,0.3442623,0.1180327868852459,0.0,14.0,7.1153846
NYJ,Standard (6),run,193,0.079457305,0.41968912,5.134715,0.03626943,0.24352331,0.0,0.0,0.0,
NYJ,Heavy (7),pass,124,0.42889994,0.5483871,7.677419,0.12903225,0.43548387,0.056451612903225805,0.0,5.0,4.7108436
NYJ,Heavy (7),run,217,0.0048100925,0.41474655,4.368664,0.041474655,0.2718894,0.0,0.0,0.0,
NYJ,Stacked (8+),pass,20,0.44316664,0.65,7.8,0.25,0.6,0.1,0.0,0.0,5.769231
NYJ,Stacked (8+),run,82,-0.005302278,0.5365854,4.3170733,0.048780486,0.30487806,0.0,0.0,0.0,
PHI,Light (≤5),pass,155,-0.33561182,0.32258064,3.612903,0.012903226,0.21935484,0.23225806451612904,5.0,20.0,5.5066667
PHI,Light (≤5),run,24,0.28786603,0.5,6.125,0.041666668,0.33333334,0.0,0.0,0.0,
PHI,Standard (6),pass,340,-0.047632936,0.4117647,6.6941175,0.026470589,0.30588236,0.15588235294117647,5.0,20.0,5.209424
PHI,Standard (6),run,308,-0.023989927,0.45779222,4.733766,0.016233766,0.26298702,0.0,0.0,0.0,
PHI,Heavy (7),pass,74,-0.039134935,0.47297296,5.0945945,0.027027028,0.3108108,0.16216216216216217,2.0,2.0,4.3
PHI,Heavy (7),run,132,-0.09990537,0.38636363,3.628788,0.053030305,0.2651515,0.0,0.0,0.0,
PHI,Stacked (8+),pass,11,-0.18508488,0.27272728,1.3636364,0.18181819,0.18181819,0.2727272727272727,0.0,0.0,3.6666667
PHI,Stacked (8+),run,20,0.093521036,0.55,2.15,0.35,0.5,0.0,0.0,0.0,
PHI,,pass,2,,,,,,0.0,0.0,0.0,
